,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
73,New Norfolk,-42.78,147.06,84.2,16,20,16.11
74,Solnechnyy,50.72,136.64,-0.84,78,0,2.95
75,Hambantota,6.12,81.12,84.2,74,40,10.29
76,Lata,30.78,78.62,38.9,100,32,1.72
77,Puerto Leguizamo,-0.19,-74.78,75.75,90,80,3.18
78,Fairbanks,64.84,-147.72,-30.68,70,20,3.18
79,Bethel,60.79,-161.76,-18.68,76,1,13.87
80,Chuy,-33.69,-53.46,66.21,100,80,3.18
81,Muros,42.77,-9.06,37.4,64,0,8.05
82,Emirdag,39.02,31.15,37.47,86,75,8.05
83,Isangel,-19.55,169.27,80.52,100,48,9.78
84,Tiksi,71.64,128.87,-30.99,51,68,4.18
85,Bluff,-23.58,149.07,82.19,66,64,10.67
86,Qorveh,35.17,47.8,19.14,66,0,2.95
87,La Ronge,55.1,-105.3,1.4,84,90,5.82
88,Barrow,-38.31,-60.23,44.84,82,0,3.85
89,Ayagoz,47.96,80.43,11.54,83,76,7.87
90,Lubango,-14.92,13.49,63.33,74,0,2.28
91,Koshurnikovo,54.3,93.39,2.0,54,44,4.97
92,Ayan,40.67,33.6,32.15,96,88,6.98
93,Fortuna,38.18,-1.13,38.3,51,0,2.24
94,Latung,-8.45,120.42,79.71,88,68,4.52
95,Saint-Philippe,45.36,-73.48,8.87,78,90,12.24
96,Alofi,-19.06,-169.92,78.8,94,68,13.87
97,Lockport,50.09,-96.94,15.8,66,90,9.17
98,Yumen,40.29,97.04,22.25,86,0,12.24
99,Castro,-42.48,-73.76,42.8,100,44,3.06
100,Havre-Saint-Pierre,50.23,-63.6,28.4,92,90,12.75
101,Tonantins,-2.86,-67.77,76.47,92,88,5.41
102,Ishinomaki,38.42,141.3,42.8,35,20,16.11
103,Yafran,32.06,12.53,30.3,80,56,3.18
104,Yako,12.96,-2.26,58.2,38,8,7.09
105,Itacare,-14.28,-39.0,75.2,100,20,4.7
106,Ribeira Grande,38.52,-28.7,60.95,100,64,20.29
107,Champerico,16.38,-93.6,66.2,77,75,8.05
108,Rorvik,64.86,11.24,35.6,100,40,34.45
109,Manado,1.49,124.85,84.2,79,40,6.93
110,Inhambane,-23.87,35.38,84.2,89,20,4.7
111,San Patricio,-26.98,-56.83,70.8,99,92,3.51
112,Mitchell,43.71,-98.03,26.06,80,1,9.17
113,Marsa Matruh,31.35,27.25,41.24,66,0,9.78
114,San Antero,9.38,-75.76,76.25,84,20,11.01
115,Rio Grande,-32.03,-52.1,68.28,100,44,7.99
116,Erenhot,43.65,111.97,26.07,46,0,13.47
117,Ostrovnoy,68.05,39.51,18.42,84,12,27.34
118,Lewistown,40.39,-90.15,20.97,77,1,3.36
119,Talnakh,69.49,88.39,-28.74,45,44,3.4
120,Bambous Virieux,-20.34,57.76,84.2,74,40,12.75
121,Faanui,-16.48,-151.75,83.72,100,92,18.05
122,Norman Wells,65.28,-126.83,-36.41,65,75,3.18
123,Sioux Lookout,50.1,-91.92,5.99,84,90,4.7
124,Talant,47.34,5.0,28.4,86,0,4.7
125,Tuktoyaktuk,69.44,-133.03,-27.41,67,40,9.17
126,Tottori,35.5,134.23,45.61,87,75,6.93
127,Hami,42.84,93.51,19.59,80,76,4.52
128,Florianopolis,-27.6,-48.55,77.0,83,0,2.24
129,Mount Pleasant,33.16,-94.97,46.6,46,1,5.82
130,Baykit,61.68,96.39,-11.87,54,24,10.78
131,Vaitape,-16.52,-151.75,82.5,100,80,17.83
132,Ponta do Sol,-20.63,-46.0,66.03,86,56,2.62
133,Adamovka,51.52,59.94,-6.87,73,24,3.4
134,Dicabisagan,17.08,122.42,76.25,100,100,8.77
135,Svobodnyy,53.85,40.53,16.62,91,92,8.43
136,Maceio,-9.67,-35.74,73.4,88,75,1.12
137,Pangnirtung,66.15,-65.72,-26.49,41,8,3.29
138,Tilichiki,60.47,166.1,22.7,81,36,11.79
139,East London,-33.02,27.91,68.0,82,40,1.12
140,Thompson,55.74,-97.86,-11.21,69,75,6.93
141,Taoudenni,22.68,-3.98,35.84,60,0,5.19
142,Kaitangata,-46.28,169.85,53.61,75,24,17.49
143,Vila,45.18,8.4,30.87,46,0,11.41
144,Kingsville,39.45,-76.42,28.27,58,1,16.11
145,Korba,22.35,82.71,72.51,67,0,4.41
146,Lompoc,34.64,-120.46,52.11,92,90,4.7
147,Slave Lake,55.28,-114.77,5.0,84,1,10.29
148,Camacha,33.08,-16.33,59.76,63,40,3.36
149,Zenzeli,45.92,47.05,20.45,88,68,7.2
150,Saint Anthony,43.97,-111.68,30.0,92,90,2.73
151,Yar-Sale,66.83,70.83,-20.46,90,24,9.22
152,Beidao,34.57,105.89,33.45,55,0,3.06
153,Srednekolymsk,67.46,153.71,-26.54,41,68,2.62
154,Geraldton,49.72,-86.95,-2.21,64,90,2.73
155,San Quintin,17.54,120.52,84.35,56,0,4.52
156,Springbok,-29.67,17.88,56.31,58,0,4.18
157,Tsiroanomandidy,-18.77,46.05,69.5,99,92,3.96
158,Gizo,31.8,34.94,45.64,75,0,2.24
159,Vestmannaeyjar,63.44,-20.27,44.3,98,92,19.17
160,Bacalar,18.68,-88.39,69.8,88,75,11.41
161,West Wendover,40.74,-114.07,30.02,92,1,3.36
162,Annau,37.89,58.52,42.8,70,75,4.7
163,Bremerton,38.4,-75.51,30.18,54,1,14.99
164,Broome,52.47,1.45,42.84,93,80,5.82
165,Avarua,-21.21,-159.78,78.8,74,75,12.75
166,Tuatapere,-46.13,167.69,54.51,98,76,14.03
167,Sept-Iles,50.2,-66.38,23.0,79,90,5.82
168,Pangkalanbuun,-2.68,111.62,84.89,91,68,3.74
169,Abha,18.22,42.5,56.34,71,0,2.39
170,Nanacamilpa,19.48,-98.55,59.0,51,40,2.24
171,Saskylakh,71.97,114.09,-39.14,0,64,3.18
172,Barcelos,41.53,-8.62,40.6,45,0,12.75
173,Kyzyl-Suu,42.34,78.0,21.62,100,48,0.6
174,Paslek,54.06,19.66,14.01,80,56,10.78
175,Oksfjord,70.24,22.35,31.17,80,75,12.75
176,Praia da Vitoria,38.73,-27.07,59.0,87,75,24.09
177,Millau,44.1,3.08,24.8,92,0,6.93
178,Riyadh,24.63,46.72,48.2,49,0,5.82
179,Port Hardy,50.7,-127.42,46.4,93,90,25.28
180,Narsaq,60.91,-46.05,6.05,53,8,2.84
181,Lloydminster,53.28,-110.01,8.6,84,90,4.7
182,Pochutla,15.74,-96.47,78.81,100,0,7.76
183,Grafton,-29.69,152.93,86.0,40,0,13.87
184,Balakhta,55.38,91.62,1.68,78,44,2.39
185,Tungor,53.39,142.95,1.82,89,0,14.25
186,Mafra,38.94,-9.33,42.8,60,0,12.75
187,Coatepec,19.45,-96.96,38.45,87,0,0.72
188,Clyde River,70.47,-68.59,-25.61,74,1,9.17
189,Portland,45.52,-122.67,44.26,88,90,3.4
190,Kautokeino,69.01,23.04,26.43,75,32,10.67
191,Ilulissat,69.22,-51.1,-9.41,47,0,3.36
192,Kodiak,39.95,-94.76,34.25,37,90,8.05
193,Atuona,-9.8,-139.03,81.51,99,36,17.27
194,Moundou,8.57,16.07,63.69,55,0,8.21
195,Talcahuano,-36.72,-73.12,53.6,81,0,8.05
196,Prince Rupert,54.32,-130.32,46.4,81,90,26.4
197,Kaoma,-14.8,24.8,72.24,84,12,10.56
198,Katsuura,33.93,134.5,51.64,54,75,16.11
199,Hasaki,35.73,140.83,52.86,27,40,14.99
200,Mutoko,-17.4,32.23,73.5,90,32,3.96
201,Anloga,5.79,0.9,78.8,88,20,1.12
202,Batagay-Alyta,67.8,130.41,-33.74,55,48,3.18
203,Kavieng,-2.57,150.8,85.34,100,20,6.42
204,Tautira,-17.73,-149.15,80.6,74,75,3.36
205,Comodoro Rivadavia,-45.87,-67.48,60.8,38,0,17.22
206,Avera,33.19,-82.53,31.39,66,1,1.95
207,General Roca,-39.03,-67.58,53.6,71,0,5.82
208,Lusambo,-4.97,23.44,73.32,95,92,2.73
209,Porto Murtinho,-21.7,-57.88,82.32,61,24,9.1
210,Victoria,5.28,115.24,88.81,70,75,9.17
211,Sheridan,39.65,-105.03,41.43,42,1,3.36
212,Masuda,34.68,131.85,52.39,57,75,4.7
213,Inuvik,68.36,-133.71,-23.81,67,90,3.36
214,Lagoa,37.14,-8.45,50.0,31,0,14.99
215,Independence,39.09,-94.42,37.67,55,90,4.7
216,Richards Bay,-28.77,32.06,77.73,76,24,9.78
217,Manono,-7.3,27.4,73.41,98,24,4.41
218,Husavik,50.56,-96.99,10.64,91,88,4.07
219,Souillac,45.6,-0.6,30.43,100,36,3.4
220,Semnan,35.58,53.39,33.8,69,0,2.24
221,Visby,57.64,18.3,35.6,93,90,19.46
222,Quatre Cocos,-20.21,57.76,84.2,74,40,12.75
223,Taltal,-25.41,-70.49,50.64,100,24,1.72
224,Lorengau,-2.02,147.27,86.15,91,0,10.45
225,Luwuk,-0.95,122.79,85.79,81,44,2.51
226,Puerto Narino,-3.77,-70.38,75.2,100,40,3.96
227,Tres Arroyos,-38.38,-60.28,44.84,82,0,3.85
228,Posse,-14.08,-46.36,70.53,64,92,2.95
229,Tomatlan,19.93,-105.25,64.59,91,0,2.06
230,Klaksvik,62.23,-6.59,42.8,93,64,6.93
231,Svetlaya,46.54,138.33,22.02,100,0,5.41
232,Verkhnevilyuysk,63.45,120.31,-14.88,66,44,1.95
233,Bayan,47.25,107.54,13.97,43,8,4.63
234,Potiskum,11.71,11.08,53.52,54,0,5.41
235,Ahipara,-35.17,173.16,72.69,81,48,8.99
236,Santo Amaro da Imperatriz,-27.69,-48.78,77.0,83,0,2.24
237,Yelizovo,53.19,158.38,21.2,73,75,15.66
238,Tiznit,29.7,-9.73,43.22,100,0,2.06
239,Mandalgovi,45.76,106.27,13.34,70,8,8.66
240,Kavaratti,10.57,72.64,81.74,100,0,8.99
241,Dvinskoy,62.16,45.12,16.98,84,88,10.45
242,Airai,-8.93,125.41,78.5,86,56,1.28
243,Labuhan,-2.54,115.51,76.83,92,88,1.39
244,Monrovia,6.33,-10.8,74.0,92,36,3.74
245,Petropavlovsk-Kamchatskiy,53.05,158.65,21.2,73,75,15.66
246,Kroya,-6.5,108.06,80.61,100,20,4.29
247,Kjopsvik,68.1,16.37,33.8,86,90,31.09
248,Bathsheba,13.22,-59.52,78.8,74,20,14.99
249,Khor,47.88,134.96,8.43,66,0,9.33
250,Natal,-5.81,-35.21,76.08,83,20,6.93
251,Fougamou,-1.22,10.59,69.59,100,92,3.18
252,Porosozero,62.72,32.71,23.01,78,80,15.14
253,Harper,30.3,-99.24,52.92,59,90,9.17
254,Gold Coast,-28.0,153.41,82.4,54,40,14.99
255,Hovd,63.83,10.7,37.4,91,75,46.08
256,Cassilandia,-19.11,-51.73,73.32,66,0,8.21
257,Tura,25.52,90.21,69.54,66,0,5.97
258,Severo-Kurilsk,50.68,156.12,15.36,100,0,2.84
259,Santa Cruz,36.97,-122.03,49.26,92,90,3.36
260,Plettenberg Bay,-34.05,23.37,67.11,96,0,4.63
261,Pangody,65.85,74.49,-29.96,49,20,3.18
262,Bandarbeyla,9.49,50.81,75.89,100,92,21.18
263,Savelugu,9.63,-0.83,70.53,70,24,6.98
264,Kakching,24.5,93.98,66.2,48,40,2.62
265,Grindavik,63.84,-22.43,42.8,100,90,19.46
266,Kahului,20.89,-156.47,70.57,70,1,5.82
267,Rio Gallegos,-51.62,-69.22,55.4,66,40,5.97
268,Matadi,-5.83,13.46,74.67,100,68,3.29
269,Hobyo,5.35,48.53,79.44,74,0,21.18
270,Lubsko,51.79,14.97,28.4,92,75,8.05
271,Taree,-31.91,152.46,84.2,54,20,24.16
272,Gucheng,32.27,111.65,45.47,75,0,2.39
273,Khandyga,62.65,135.58,-41.79,0,20,2.51
274,Dillon,45.22,-112.64,28.04,92,1,10.29
275,Shimoda,34.7,138.93,54.57,54,40,8.05
276,Houston,29.76,-95.37,49.86,62,1,5.86
277,Kathmandu,27.71,85.32,57.2,58,20,3.36
278,Udachnyy,66.42,112.4,-24.56,70,48,2.73
279,Estanzuela,15.0,-89.57,62.3,100,92,2.17
280,Hamilton,43.26,-79.87,13.1,78,20,9.17
281,Moose Factory,51.26,-80.61,-14.81,68,1,9.17
282,Honiara,-9.43,159.96,79.49,91,80,2.62
283,De Aar,-30.65,24.01,66.2,59,0,6.93
284,Bambanglipuro,-7.95,110.28,82.68,82,20,6.2
285,Kruisfontein,-34.0,24.73,67.79,82,0,4.97
286,Noumea,-22.28,166.46,87.8,58,44,13.87
287,Grootfontein,-19.56,18.1,71.61,25,0,7.65
288,Seymchan,62.93,152.39,-23.52,67,44,2.39
289,Pevek,69.7,170.27,9.2,72,76,22.3
290,Montijo,38.71,-8.97,42.8,70,0,12.75
291,Rocha,-34.48,-54.34,62.61,91,56,5.64
292,Sao Felix do Xingu,-6.64,-51.99,70.89,100,56,2.17
293,Cherskiy,68.75,161.3,3.39,56,0,7.65
294,Sal Rei,16.18,-22.92,68.0,72,0,9.17
295,Codrington,-28.95,153.24,85.95,40,0,11.41
296,Mersing,2.43,103.84,83.49,84,64,12.46
297,Kalispell,48.2,-114.32,33.08,91,90,3.36
298,Xai-Xai,-25.04,33.64,84.12,78,12,10.45
299,Ancud,-41.87,-73.83,42.8,100,20,3.51
300,Colares,38.8,-9.45,42.8,60,0,12.75
301,Necochea,-38.55,-58.74,43.85,100,0,3.74
302,Pemba,-12.97,40.52,83.04,100,88,15.14
303,Egvekinot,66.32,-179.17,-35.99,66,0,2.73
304,Obilnoye,44.25,43.56,23.0,92,90,8.95
305,Saint-Joseph,43.56,6.97,21.2,85,0,3.62
306,Mabaruma,8.2,-59.78,77.1,86,80,5.75
307,Waitati,-45.75,170.57,57.03,66,8,16.26
308,Atbasar,51.81,68.36,2.0,77,56,3.51
309,Kawalu,-7.38,108.21,74.4,100,56,2.51
310,San Borja,-14.86,-66.75,69.27,100,92,0.49
311,Mareeba,-16.99,145.42,82.4,83,75,11.41
312,Faya,18.39,42.45,56.34,71,0,4.07
313,Lasa,34.92,32.53,51.53,66,75,11.41
314,Jalu,29.03,21.55,33.95,67,0,3.51
315,Prado,-17.34,-39.22,79.4,97,92,5.53
316,Zavyalovo,54.51,82.45,-7.61,76,20,4.47
317,Lebedinyy,58.52,125.52,12.75,73,68,5.19
318,Nanortalik,60.14,-45.24,25.71,86,12,9.78
319,Niltepec,16.57,-94.62,64.86,92,12,10.56
320,Emerald,-23.53,148.16,86.0,48,90,8.05
321,Urusha,54.05,122.9,-2.42,69,0,2.62
322,Krasnaya Gora,53.01,31.6,8.6,84,90,4.47
323,Sompeta,18.93,84.6,77.87,56,0,3.62
324,Mocuba,-16.84,36.99,82.64,73,44,8.1
325,Changji,32.07,116.17,40.02,100,80,6.53
326,Punta Alta,-27.46,-55.82,73.4,83,0,8.05
327,Abonnema,4.71,6.79,71.6,88,8,2.95
328,Komsomolskiy,67.55,63.78,-8.85,65,24,14.14
329,Vitim,59.44,112.57,14.73,74,64,4.85
330,Northam,51.04,-4.21,44.6,87,92,6.93
331,Bubaque,11.28,-15.83,76.52,100,12,5.53
332,Mairana,-18.12,-63.96,60.05,100,92,1.95
333,Kargasok,59.06,80.87,-12.59,60,24,4.41
334,Basoko,1.23,23.61,74.09,92,20,4.41
335,Akonolinga,3.77,12.24,68.19,95,0,2.17
336,Jinchang,38.52,102.19,28.64,70,0,3.51
337,Encruzilhada do Sul,-30.54,-52.52,67.79,92,88,9.44
338,Kuandian,40.73,124.78,33.18,40,44,3.62
339,Upernavik,72.79,-56.15,-7.37,100,12,8.21
340,Doka,13.52,35.76,71.88,61,0,8.99
341,Dunedin,-45.87,170.5,57.03,66,8,16.26
342,Seoul,37.57,126.98,42.37,41,1,2.24
343,South Valley,35.01,-106.68,37.31,96,90,3.36
344,Vao,59.1,26.19,27.78,94,92,17.6
345,Cidreira,-30.17,-50.22,71.34,97,12,4.74
346,Tezu,27.93,96.16,59.91,41,0,1.95
347,Beringovskiy,63.05,179.32,15.45,92,64,22.19
348,Boddam,57.47,-1.78,46.4,75,75,10.29
349,Othaya,-0.55,36.95,62.52,83,0,4.29
350,Simplicio Mendes,-7.85,-41.91,68.42,97,64,3.18
351,Tawang,27.59,91.87,37.32,44,0,1.61
352,Pisco,-13.71,-76.2,71.6,88,75,6.93
353,Meulaboh,4.14,96.13,83.13,100,76,4.18
354,Beloha,-25.17,45.06,75.62,99,92,12.01
355,La Fleche,47.7,-0.08,37.87,100,90,1.12
356,Pauini,-7.71,-67.0,74.09,95,92,4.97
357,Namibe,-15.19,12.15,73.5,100,0,1.28
358,Wangou,42.06,126.91,24.27,75,0,3.62
359,Klyuchi,52.25,79.17,1.95,79,64,4.41
360,Altay,47.83,88.13,13.07,81,44,2.39
361,Novaya Igirma,57.14,103.93,11.04,56,48,9.66
362,Gat,14.69,-16.54,64.4,88,68,13.87
363,Kirensk,57.78,108.12,17.43,56,76,6.42
364,Pio XII,-3.89,-45.17,70.62,97,76,2.73
365,Asmara,15.34,38.93,63.96,100,80,1.72
366,Saint-Pierre,48.95,4.24,30.67,100,92,4.7
367,Usinsk,66.0,57.56,-8.09,63,56,14.25
368,Lakes Entrance,-37.88,147.99,80.84,65,20,4.52
369,Chernyshevskiy,63.01,112.47,-2.28,70,24,8.77
370,Rudnaya Pristan,44.36,135.82,19.55,31,0,8.88
371,Davila,18.47,120.58,82.4,69,20,5.82
372,Moindou,-21.69,165.68,87.8,58,92,13.87
373,Mezen,65.85,44.24,18.74,77,92,14.7
374,Rock Springs,41.59,-109.2,26.06,92,75,13.87
375,Port Blair,11.67,92.75,80.61,100,44,13.8
376,Innisfail,52.02,-113.95,10.4,92,20,2.24
377,Sisimiut,66.94,-53.67,-19.74,100,0,1.61
378,San Ramon de la Nueva Oran,-23.13,-64.33,68.69,97,100,11.79
379,Visnes,59.36,5.22,44.6,70,8,24.16
380,San Cristobal,-0.39,-78.55,55.4,100,75,3.36
381,Leh,34.16,77.58,-7.68,83,48,1.16
382,Biak,-0.91,122.88,85.79,81,44,2.51
383,Zinder,13.81,8.99,50.28,71,0,2.95
384,Pacific Grove,36.62,-121.92,49.24,92,90,3.36
385,Glyadyanskoye,54.91,65.09,5.87,82,56,7.76
386,Lucapa,-8.42,20.74,68.91,98,32,4.07
387,Tigil,57.8,158.67,3.17,73,56,3.06
388,Galesong,-5.32,119.37,89.6,66,20,12.75
389,Kapchorwa,1.4,34.45,69.99,74,0,2.51
390,Kirkwall,58.98,-2.96,45.39,87,92,16.11
391,Bilibino,68.06,166.44,-14.43,63,0,2.84
392,Khatanga,71.98,102.47,-43.68,0,0,3.06
393,Port-Gentil,-0.72,8.78,78.8,94,75,4.7
394,Oromocto,45.85,-66.47,23.94,85,90,11.41
395,Bemidji,47.48,-94.89,12.06,80,1,5.82
396,Dieppe,49.92,1.08,39.2,93,90,4.7
397,Mastic Beach,40.77,-72.85,28.76,56,40,14.99
398,Gaurela,22.75,81.9,69.59,66,0,4.29
399,Cabo San Lucas,22.89,-109.91,66.2,72,5,4.7
400,Kupang,-10.16,123.6,91.4,66,40,9.17
401,Murray Bridge,-35.12,139.28,84.44,52,92,11.01
402,Srednebelaya,50.66,128.01,21.2,44,0,4.47
403,Binga,-17.62,27.34,77.64,90,88,5.19
404,Campana,8.72,-79.89,73.4,88,20,3.36
405,Schwarzenbek,53.5,10.48,36.72,100,90,8.05
406,Igrim,63.19,64.42,-22.31,33,0,2.84
407,Sao Sebastiao,-3.15,-58.36,72.74,100,88,4.18
408,Zhezkazgan,47.8,67.71,-4.01,76,75,6.71
409,Listvyanskiy,54.44,83.49,-3.63,77,12,5.75
410,Manitowoc,44.09,-87.66,19.83,80,75,3.29
411,Broken Hill,-31.97,141.45,100.4,8,0,12.75
412,Hailey,43.52,-114.32,30.2,92,40,8.05
413,Melendugno,40.27,18.34,38.77,86,0,10.29
414,Karratha,-20.74,116.85,111.89,13,0,4.07
415,Yermolayevo,52.7,55.83,0.92,72,68,2.95
416,Mogadishu,2.04,45.34,78.8,74,20,14.99
417,Chimbote,-9.08,-78.59,68.87,100,88,6.42
418,Velizh,55.61,31.2,8.52,86,64,8.66
419,La Romana,18.43,-68.97,69.8,94,20,2.17
420,Timbuktu,16.77,-3.01,48.48,59,0,6.87
421,Gilgit,35.92,74.31,15.14,87,88,0.94
422,Bahir Dar,11.59,37.39,63.65,26,0,3.06
423,Bar Harbor,44.39,-68.2,19.04,73,20,8.05
424,Jalesar,27.47,78.3,62.43,97,0,4.63
425,Kanigoro,-8.13,112.22,83.31,93,32,8.77
426,Sherbakul,54.63,72.39,1.4,84,64,4.47
427,Aykhal,65.95,111.51,-21.77,59,56,3.18
428,Tabou,4.42,-7.36,80.88,100,32,4.63
429,Sinnamary,5.38,-52.96,78.95,94,92,13.35
430,Arlit,18.74,7.39,45.69,80,36,2.95
431,Qaqortoq,60.72,-46.03,25.4,88,36,4.18
432,Muheza,-5.18,38.79,84.44,72,0,12.91
433,Port-Cartier,50.03,-66.88,23.0,79,90,5.82
434,Aklavik,68.22,-135.01,-23.81,67,90,3.36
435,Kamariotissa,40.48,25.47,53.73,81,40,6.93
436,Constitucion,23.99,-104.67,46.86,61,0,8.77
437,Bhadrachalam,17.67,80.89,79.17,77,0,4.18
438,Haines Junction,60.75,-137.51,-45.17,0,8,2.17
439,Provideniya,64.42,-173.23,-4.01,64,0,11.18
440,Solginskiy,61.05,41.34,14.15,83,76,16.26
441,Nizhniy Tsasuchey,50.52,115.13,12.89,67,0,4.85
442,Malumfashi,11.79,7.62,55.95,46,0,6.76
443,Burnie,-41.05,145.91,64.05,97,80,15.48
444,Atar,20.52,-13.05,39.03,51,8,2.84
445,Banda Aceh,5.56,95.32,82.14,86,48,3.96
446,Nishihara,35.74,139.53,54.5,32,20,13.87
447,Nuuk,64.17,-51.74,15.8,78,0,17.22
448,Dalvik,57.79,14.13,35.6,100,75,10.29
449,Hegang,47.34,130.28,20.04,48,8,3.85
450,The Pas,53.82,-101.24,3.2,84,90,5.82
451,Nianzishan,47.51,122.88,21.3,41,0,4.52
452,Anadyr,64.73,177.51,12.2,51,0,13.42
453,Bonfim,-20.33,-44.24,69.8,64,0,5.82
454,Zyryanka,65.73,150.89,-32.07,55,8,2.39
455,Ribas do Rio Pardo,-20.45,-53.76,69.95,82,36,3.74
456,Katobu,-4.94,122.53,88.8,76,64,2.84
457,Gisors,49.28,1.78,38.3,100,90,3.36
458,Esna,45.2,27.57,25.4,95,80,16.93
459,Brownwood,31.71,-98.99,49.68,57,90,9.17
460,Jackson,35.61,-88.82,28.67,68,1,3.36
461,Sorland,67.67,12.69,39.2,100,75,31.09
462,Amudat,1.95,34.95,73.23,51,0,7.09
463,Mehriz,31.58,54.44,35.6,24,0,4.7
464,Churapcha,62.0,132.43,-32.88,57,44,3.62
465,Malanje,-9.54,16.35,66.89,86,20,4.63
466,Dingle,11.0,122.67,83.9,64,48,16.71
467,Erdenet,49.03,104.04,13.11,51,8,3.74
468,Vilyuysk,63.75,121.63,-15.02,66,76,3.96
469,Cockburn Town,21.46,-71.14,74.76,100,24,10.67
470,Mananjary,-19.16,46.8,65.0,100,88,3.4
471,Matagami,9.67,8.4,58.56,46,0,6.2
472,Jacareacanga,-6.22,-57.76,71.16,100,92,2.73
473,Axim,4.87,-2.24,82.05,100,12,5.41
474,Porto Belo,-27.15,-48.54,77.0,83,0,2.24
475,Bhum,18.47,75.67,77.28,51,0,10.56
